Target,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
T1,NA,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2
T2,2,NA,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3
T3,1,3,NA,3,3,3,3,3,1,3,2,2,2,3,3,1,1,1,1,2
T4,1,1,3,NA,3,3,3,3,2,3,2,2,3,3,3,1,1,1,1,1
T5,1,1,1,1,NA,1,3,1,1,3,3,3,2,3,3,1,1,1,1,1
T6,1,1,1,3,2,NA,1,1,2,3,1,3,3,3,1,1,1,1,1,1
T7,1,1,1,3,3,1,NA,3,2,3,2,3,3,3,3,1,1,1,1,1
T8,1,1,1,2,1,2,2,NA,1,3,1,2,1,3,2,1,1,1,1,1
T9,1,1,1,1,1,1,1,1,NA,3,1,3,1,3,2,1,1,1,1,1
T10,1,1,1,1,3,2,1,1,1,NA,3,3,1,3,2,1,1,1,1,1
T11,1,1,1,1,3,3,1,1,1,3,NA,3,3,3,2,1,1,1,1,1
T12,1,1,1,1,2,2,1,1,2,2,1,NA,3,3,1,1,1,1,1,1
T13,1,1,1,1,1,2,2,1,1,1,1,2,NA,2,1,1,1,1,1,1
T14,1,2,1,2,2,3,3,2,1,3,1,2,1,NA,3,1,1,1,1,1
T15,1,1,1,1,3,1,3,1,2,2,1,2,2,3,NA,1,1,1,1,1
T16,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,NA,1,3,1,2
T17,3,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,NA,2,2,3
T18,2,2,1,2,2,2,2,1,1,1,2,2,2,3,1,1,1,NA,3,1
T19,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,NA,1
T20,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,NA
